title,release_year,country,type,listed_in
Leo,2023,India,Movie,Action
RRR,2022,India,Movie,Action
Jailer,2023,India,Movie,Action
Master,2021,India,Movie,Action
Vikram,2022,India,Movie,Action
KGF,2018,India,Movie,Action
KGF 2,2022,India,Movie,Action
Baahubali,2015,India,Movie,Action
Baahubali 2,2017,India,Movie,Action
Pushpa,2021,India,Movie,Action
Avengers,2012,USA,Movie,Action
Endgame,2019,USA,Movie,Action
Inception,2010,USA,Movie,Sci-Fi
Interstellar,2014,USA,Movie,Sci-Fi
Tenet,2020,USA,Movie,Sci-Fi
Gravity,2013,USA,Movie,Sci-Fi
The Matrix,1999,USA,Movie,Sci-Fi
Joker,2019,USA,Movie,Thriller
Se7en,1995,USA,Movie,Thriller
Fight Club,1999,USA,Movie,Drama
Titanic,1997,USA,Movie,Romance
La La Land,2016,USA,Movie,Romance
Friends,1994,USA,TV Show,Comedy
The Office,2005,USA,TV Show,Comedy
Brooklyn 99,2013,USA,TV Show,Comedy
Modern Family,2009,USA,TV Show,Comedy
Dark,2017,Germany,TV Show,Thriller
Money Heist,2017,Spain,TV Show,Crime
Narcos,2015,USA,TV Show,Crime
Breaking Bad,2008,USA,TV Show,Crime
Peaky Blinders,2013,UK,TV Show,Crime
Game of Thrones,2011,USA,TV Show,Fantasy
Stranger Things,2016,USA,TV Show,Sci-Fi
Squid Game,2021,Korea,TV Show,Thriller
Parasite,2019,Korea,Movie,Thriller
Train to Busan,2016,Korea,Movie,Thriller
Drishyam,2015,India,Movie,Thriller
Drishyam 2,2021,India,Movie,Thriller
Andhadhun,2018,India,Movie,Thriller
Super Deluxe,2019,India,Movie,Drama
Premam,2015,India,Movie,Romance
Charlie,2015,India,Movie,Drama
Bangalore Days,2014,India,Movie,Drama
96,2018,India,Movie,Romance
OK Kanmani,2015,India,Movie,Romance
